ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Spizella pallida,Spizella pallida,AVIBASE-486265CF,9/30/2022,2492101,399376,399346,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492101&occurrence_status=present,manual,309577
Spizella breweri,Spizella breweri,AVIBASE-29967541,9/30/2022,2492099,243613,243507,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492099&occurrence_status=present,manual,79723
Spizella pusilla,Spizella pusilla,AVIBASE-E23F6DE0,9/30/2022,2492096,1972618,1972593,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492096&occurrence_status=present,manual,957453
Junco hyemalis aikeni,Junco hyemalis,NA,NA,NA,NA,NA,NA,NA,NA
Junco hyemalis hyemalis,Junco hyemalis,NA,9/28/2022,9362842,9430926,9430395,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9362842&occurrence_status=present,manual,5039232
Junco hyemalis oreganus,Junco hyemalis,NA,NA,NA,NA,NA,NA,NA,NA
Junco hyemalis caniceps,Junco hyemalis,NA,NA,NA,NA,NA,NA,NA,NA
Amphispiza bilineata,Amphispiza bilineata,AVIBASE-A0F29F1E,9/25/2022,2491757,304087,303937,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491757&occurrence_status=present,manual,169369
Peucaea cassinii,Aimophila cassinii,AVIBASE-B58AFD6E,9/24/2022,6091692,63647,63639,NA,code,62006
Melospiza melodia,Melospiza melodia,AVIBASE-A5F09E05,9/28/2022,2492196,14014185,14013872,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492196&occurrence_status=present,manual,5360495
Melospiza lincolnii,Melospiza lincolnii,AVIBASE-AF49F890,9/28/2022,2492192,1306305,1306143,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492192&occurrence_status=present,manual,883350
Melospiza georgiana,Melospiza georgiana,AVIBASE-4E192262,9/28/2022,2492235,2042278,2042238,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492235&occurrence_status=present,manual,1493642
Passerella iliaca,Passerella iliaca,AVIBASE-0B1B2EB6,9/28/2022,2491872,1318128,1318051,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491872&occurrence_status=present,manual,891686
Pipilo erythrophthalmus,Pipilo erythrophthalmus,AVIBASE-6090278A,9/29/2022,2491205,3469561,3469444,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491205&occurrence_status=present,manual,1321127
Pipilo maculatus,Pipilo maculatus,AVIBASE-58E25701,9/29/2022,9709230,3014335,3013747,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9709230&occurrence_status=present,manual,1684472
Pipilo chlorurus,Pipilo chlorurus,AVIBASE-45D829B3,9/29/2022,2491276,257133,257031,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491276&occurrence_status=present,manual,121112
Melozone fusca,Pipilo fuscus,AVIBASE-FE69A9C4,9/28/2022,7341622,316071,316042,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341622&occurrence_status=present,manual,142182
Cardinalis cardinalis,Cardinalis cardinalis,AVIBASE-4E74AE22,9/26/2022,2490384,16708053,16707903,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490384&occurrence_status=present,manual,7718157
Cardinalis sinuatus,Cardinalis sinuatus,AVIBASE-DE21A6BE,9/26/2022,2490405,217324,217303,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490405&occurrence_status=present,manual,104337
Pheucticus ludovicianus,Pheucticus ludovicianus,AVIBASE-7C2FCB13,9/29/2022,2490494,1782038,1781921,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490494&occurrence_status=present,manual,838588
Pheucticus melanocephalus,Pheucticus melanocephalus,AVIBASE-824361E5,9/29/2022,2490487,987985,987510,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490487&occurrence_status=present,manual,534493
Passerina caerulea,Passerina caerulea,AVIBASE-A7A75EA1,9/28/2022,5230862,806273,806212,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230862&occurrence_status=present,manual,455924
Passerina cyanea,Passerina cyanea,AVIBASE-043F337A,9/28/2022,2490327,2509202,2509078,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490327&occurrence_status=present,manual,1120567
Passerina amoena,Passerina amoena,AVIBASE-9F67F3AF,9/28/2022,5230861,416016,415896,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230861&occurrence_status=present,manual,166502
Passerina ciris,Passerina ciris,AVIBASE-0BDB87DE,9/28/2022,5230852,374223,374033,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230852&occurrence_status=present,manual,157518
Spiza americana,Spiza americana,AVIBASE-592E58CE,9/30/2022,2490363,453328,453267,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490363&occurrence_status=present,manual,251637
Calamospiza melanocorys,Calamospiza melanocorys,AVIBASE-938C5572,9/26/2022,2491893,112081,112050,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491893&occurrence_status=present,manual,7089
Piranga ludoviciana,Piranga ludoviciana,AVIBASE-0ADA5F17,9/29/2022,2488484,912014,911472,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2488484&occurrence_status=present,manual,586485
