ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Setophaga nigrescens,Dendroica nigrescens,AVIBASE-6B7A93C5,9/30/2022,7341770,387885,387714,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341770&occurrence_status=present,manual,83312
Setophaga virens,Dendroica virens,AVIBASE-9FFEDE99,9/30/2022,6092631,1406154,1406091,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6092631&occurrence_status=present,manual,714666
Setophaga townsendi,Dendroica townsendi,AVIBASE-F6C6C3F7,9/30/2022,6092651,601085,600974,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6092651&occurrence_status=present,manual,143297
Setophaga occidentalis,Dendroica occidentalis,AVIBASE-0EB07C12,9/30/2022,6092644,147404,147369,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6092644&occurrence_status=present,manual,113633
Setophaga pinus,Dendroica pinus,AVIBASE-6283E61E,9/30/2022,7341816,1823843,1823816,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341816&occurrence_status=present,manual,823302
Setophaga discolor,Dendroica discolor,AVIBASE-E36325FA,9/30/2022,7341789,578726,578282,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341789&occurrence_status=present,manual,244049
Seiurus aurocapilla,Seiurus aurocapilla,AVIBASE-CEA5B6AA,9/30/2022,2489590,1797262,1797118,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489590&occurrence_status=present,manual,818021
Parkesia noveboracensis,Seiurus noveboracensis,AVIBASE-709AF716,9/28/2022,6093856,903861,903739,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093856&occurrence_status=present,manual,435685
Parkesia motacilla,Seiurus motacilla,AVIBASE-7AB0F3A4,9/28/2022,6093862,400110,400065,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093862&occurrence_status=present,manual,319814
Geothlypis formosa,Oporornis formosus,AVIBASE-8C105C3C,9/27/2022,6093586,210577,210529,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093586&occurrence_status=present,manual,70669
Geothlypis philadelphia,Oporornis philadelphia,AVIBASE-1A0096F2,9/27/2022,5789148,231887,231849,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5789148&occurrence_status=present,manual,196015
Geothlypis tolmiei,Oporornis tolmiei,AVIBASE-85106518,9/27/2022,5789146,320910,320699,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5789146&occurrence_status=present,manual,128808
Geothlypis trichas,Geothlypis trichas,AVIBASE-BA4C8A02,9/28/2022,2489670,5410321,5409658,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489670&occurrence_status=present,manual,2421042
Icteria virens,Icteria virens,AVIBASE-734C73A9,9/28/2022,2489989,624798,624690,https://www.gbif.org/occurrence/search?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489989&occurrence_status=present,manual,406211
Setophaga citrina,Wilsonia citrina,AVIBASE-15EB3000,9/30/2022,6093374,572096,572038,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093374&occurrence_status=present,manual,307890
Cardellina pusilla,Wilsonia pusilla,AVIBASE-1F09CCCC,9/26/2022,7341606,1471122,1470882,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341606&occurrence_status=present,manual,820273
Setophaga ruticilla,Setophaga ruticilla,AVIBASE-BED38F50,9/30/2022,2489985,2530451,2530332,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489985&occurrence_status=present,manual,1206564
Passer domesticus,Passer domesticus,AVIBASE-240E3390,9/28/2022,5231190,15401834,15387842,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231190&occurrence_status=present,manual,6534891
Anthus spragueii,Anthus spragueii,AVIBASE-BF380B5D,9/24/2022,2490268,28901,28895,NA,code,26869
Oreoscoptes montanus,Oreoscoptes montanus,AVIBASE-F6DF700B,9/28/2022,2494973,111893,111853,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494973&occurrence_status=present,manual,108897
Mimus polyglottos,Mimus polyglottos,AVIBASE-7EFF698D,9/28/2022,5231677,7546362,7546273,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231677&occurrence_status=present,manual,3212742
Dumetella carolinensis,Dumetella carolinensis,AVIBASE-95B77F08,9/27/2022,2494936,5847240,5847123,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494936&occurrence_status=present,manual,2533716
Toxostoma rufum,Toxostoma rufum,AVIBASE-C8F9F2D0,10/1/2022,9479809,2349248,2349225,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9479809&occurrence_status=present,manual,1360753
Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,AVIBASE-891F222F,9/26/2022,5231474,361260,361195,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231474&occurrence_status=present,manual,321488
Salpinctes obsoletus,Salpinctes obsoletus,AVIBASE-76DF73A9,9/30/2022,5231483,340053,339959,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231483&occurrence_status=present,manual,295736
Thryothorus ludovicianus,Thryothorus ludovicianus,AVIBASE-0B70AD86,10/1/2022,2493801,7635694,7635710,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2493801&occurrence_status=present,manual,3647740
Thryomanes bewickii,Thryomanes bewickii,AVIBASE-603194D3,10/1/2022,2493843,2088615,2088584,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2493843&occurrence_status=present,manual,1147954
Troglodytes aedon,Troglodytes aedon,AVIBASE-A381417F,10/1/2022,5231459,4977052,4976676,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231459&occurrence_status=present,manual,2586907
Troglodytes pacificus,Troglodytes troglodytes,AVIBASE-CF5B7A9D,10/1/2022,9533566,558892,558822,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9533566&occurrence_status=present,manual,125502
Troglodytes hiemalis,Troglodytes troglodytes,AVIBASE-C757BD95,10/1/2022,7340825,756164,756160,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7340825&occurrence_status=present,manual,357668
Cistothorus platensis,Cistothorus platensis,AVIBASE-CB4C1514,9/27/2022,2493890,262627,262602,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2493890&occurrence_status=present,manual,121250
Cistothorus palustris,Cistothorus palustris,AVIBASE-787E0536,9/27/2022,2493863,1375445,1375394,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2493863&occurrence_status=present,manual,1067315
Certhia americana,Certhia americana,AVIBASE-BAC33609,9/26/2022,9581157,1866706,1866250,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9581157&occurrence_status=present,manual,945149
Sitta carolinensis,Sitta carolinensis,AVIBASE-19CCBBD2,9/30/2022,2484892,8983078,8982803,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484892&occurrence_status=present,manual,5046259
Sitta canadensis,Sitta canadensis,AVIBASE-0716A71C,9/30/2022,2484879,3792319,3791959,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484879&occurrence_status=present,manual,1765880
Sitta pusilla,Sitta pusilla,AVIBASE-AD7F307B,9/30/2022,2484904,658278,658266,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484904&occurrence_status=present,manual,521882
Baeolophus bicolor,Baeolophus bicolor,AVIBASE-B488AB70,9/26/2022,2487887,8164703,8164668,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487887&occurrence_status=present,manual,4038416
Baeolophus bicolor / atricristatus,Baeolophus bicolor,NA,NA,NA,NA,NA,NA,NA,NA
Baeolophus atricristatus,Baeolophus atricristatus,AVIBASE-66698D9B,9/26/2022,2487919,398638,398637,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487919&occurrence_status=present,manual,358827
Baeolophus ridgwayi,Baeolophus ridgwayi,AVIBASE-E366AB90,9/24/2022,2487898,90574,90520,NA,code,89419
Poecile atricapillus,Parus atricapillus,AVIBASE-B1F0CC82,9/29/2022,2487805,11915794,11915647,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487805&occurrence_status=present,manual,5175609
Poecile carolinensis,Parus carolinensis,AVIBASE-F941AAD3,9/29/2022,2487844,5399545,5399507,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487844&occurrence_status=present,manual,2461572
Poecile gambeli,Parus gambeli,AVIBASE-DE0971C1,9/29/2022,2487825,918400,917781,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487825&occurrence_status=present,manual,725146
Poecile rufescens,Parus rufescens,AVIBASE-FF592882,9/29/2022,2487783,1308993,1308919,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2487783&occurrence_status=present,manual,515045
Psaltriparus minimus,Psaltriparus minimus,AVIBASE-AE37ED4D,9/30/2022,2494988,1636445,1636094,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494988&occurrence_status=present,manual,734130
