"Species","mass_gm","source"
"Aegotheles wallacii",50.72,"combined: BirdLife, eBird, BirdTree"
"Aegypius monachus",9320.56666666667,"combined: BirdLife, eBird, BirdTree"
"Aenigmatolimnas marginalis",51.2,"combined: BirdLife, eBird, BirdTree"
"Aepypodius arfakianus",1463.8,"combined: BirdLife, eBird, BirdTree"
"Aepypodius bruijnii",192,"combined: BirdLife, eBird, BirdTree"
"Aerodramus amelis",10.7,"combined: BirdLife, eBird, BirdTree"
"Aerodramus bartschi",7.4,"combined: BirdLife, eBird, BirdTree"
"Aerodramus brevirostris",13.41,"combined: BirdLife, eBird, BirdTree"
"Aerodramus ceramensis",13.4,"combined: BirdLife, eBird, BirdTree"
"Aerodramus elaphrus",10.7,"combined: BirdLife, eBird, BirdTree"
"Aerodramus francicus",8.9,"combined: BirdLife, eBird, BirdTree"
"Aerodramus fuciphagus",10.7,"combined: BirdLife, eBird, BirdTree"
"Aerodramus germani",10.7,"combined: BirdLife, eBird, BirdTree"
"Aerodramus hirundinaceus",10.1,"combined: BirdLife, eBird, BirdTree"
"Aerodramus infuscatus",13.4,"combined: BirdLife, eBird, BirdTree"
"Aerodramus inquietus",11,"combined: BirdLife, eBird, BirdTree"
"Aerodramus leucophaeus",13.375,"combined: BirdLife, eBird, BirdTree"
"Aerodramus maximus",17,"combined: BirdLife, eBird, BirdTree"
"Aerodramus mearnsi",11.3,"combined: BirdLife, eBird, BirdTree"
"Aerodramus nuditarsus",13.375,"combined: BirdLife, eBird, BirdTree"
"Aerodramus ocistus",13.4,"combined: BirdLife, eBird, BirdTree"
"Aerodramus orientalis",13.375,"combined: BirdLife, eBird, BirdTree"
"Aerodramus papuensis",19.9,"combined: BirdLife, eBird, BirdTree"
"Aerodramus pelewensis",13.375,"combined: BirdLife, eBird, BirdTree"
"Aerodramus salangana",11.3,"combined: BirdLife, eBird, BirdTree"
"Aerodramus sawtelli",8.6,"combined: BirdLife, eBird, BirdTree"
