"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
4970,137,"UT",0.00365599328568885,-0.384347826086957,NA,NA,0,NA,NA,0,"Passeriformes","Icteridae","Xanthocephalus","xanthocephalus","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","Xanthocephalus xanthocephalus"
4980,14569,"UT",0.00111096947530471,-0.24282608227671,-0.0974729241877252,0.729916946456971,0.000338351466038218,-0.50777719363959,0.265150210667593,0.000597630960512322,"Passeriformes","Icteridae","Agelaius","phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Agelaius phoeniceus"
5010,6940,"UT",0.00108377933305887,-0.444977184814583,-0.129375639713408,0.254576687116565,0.000511477171173523,-0.367125728299762,0.524702891064344,0.00080247784418866,"Passeriformes","Icteridae","Sturnella","magna","Eastern Meadowlark","Sturnella magna","Sturnella magna"
5011,1046,"UT",0.00494450403395047,-0.414895408764779,0.258823529411765,0.591111111111111,0.000712020572814305,0.582050726208541,0.886957942906951,0.00164622487525066,"Passeriformes","Icteridae","Sturnella","neglecta","Western Meadowlark","Sturnella neglecta","Sturnella neglecta"
5060,1442,"UT",0.000560704982916681,-0.162680456798104,-1,0.390329362298529,0.000172403794574898,-0.634953099654419,0.341251512152205,0.000295770414761653,"Passeriformes","Icteridae","Icterus","spurius","Orchard Oriole","Icterus spurius","Icterus spurius"
5070,4896,"UT",0.000757498121199699,-0.22369409996242,-0.0833088018840147,0.824693140794224,0.000246414622759673,-0.543549738894978,0.679736411285775,0.000417179918775108,"Passeriformes","Icteridae","Icterus","galbula","Baltimore Oriole","Icterus galbula","Icterus galbula"
5100,589,"LT",0.00234023295847802,0.152932254802831,NA,1,0.00065427139840159,-1,0.245669291338583,0.000404539764347624,"Passeriformes","Icteridae","Euphagus","cyanocephalus","Brewer's Blackbird","Euphagus cyanocephalus","Euphagus cyanocephalus"
5110,13053,"UT",0.00100802575054509,-0.0411720720155404,-0.055569695427165,0.725800140856092,0.000341117998959482,-0.189237240315451,0.339601005683916,0.000660815877578405,"Passeriformes","Icteridae","Quiscalus","quiscula","Common Grackle","Quiscalus quiscula","Quiscalus quiscula"
5130,42,"UT",0.0112493777999004,-0.376843657817109,NA,-1,0.00268375642940103,1,NA,0,"Passeriformes","Icteridae","Quiscalus","major","Boat-tailed Grackle","Quiscalus major","Quiscalus major"
5170,205,"UT",0.00111753208124416,-1,-1,NA,0,1,1,0.00121244204676857,"Passeriformes","Fringillidae","Haemorhous","purpureus","Purple Finch","Haemorhous purpureus","Carpodacus purpureus"
5190,1989,"UT",0.00378168778455722,-0.493781123335263,-0.512981688986061,0.865722395525953,0.00311670634482686,-0.970467832065349,0.0665724072008921,0.0023683731442257,"Passeriformes","Fringillidae","Haemorhous","mexicanus","House Finch","Haemorhous mexicanus","Carpodacus mexicanus"
5290,11062,"UT",0.00097933913192478,-0.057731892448218,0.220489977728286,0.642801592021593,0.000344258556618162,-0.382421684033017,0.559414467850458,0.000775475938591038,"Passeriformes","Fringillidae","Spinus","tristis","American Goldfinch","Spinus tristis","Carduelis tristis"
5380,22,"UT",0.00614507443775737,-1,NA,-1,0.0020747545137789,NA,NA,0,"Passeriformes","Calcariidae","Calcarius","ornatus","Chestnut-collared Longspur","Calcarius ornatus","Calcarius ornatus"
5400,992,"UT",0.00217928093739463,-0.358852445805464,1,0.715746421267894,0.000343514667865573,0.20022085299402,0.131799163179916,0.000226010712340374,"Passeriformes","Passerellidae","Pooecetes","gramineus","Vesper Sparrow","Pooecetes gramineus","Pooecetes gramineus"
5420,1891,"UT",0.00235592398985106,-0.619740340997966,-0.311186440677965,0.2455345241269,0.000345576055292169,0.837904788541063,-0.0503382268278642,0.00137870410148596,"Passeriformes","Passerellidae","Passerculus","sandwichensis","Savannah Sparrow","Passerculus sandwichensis","Passerculus sandwichensis"
5460,503,"UT",0.00260146438442516,-0.75742244707762,-1,-0.0222717149220488,0.00031102583107626,1,0.214077615912641,0.00162292279257212,"Passeriformes","Passerellidae","Ammodramus","savannarum","Grasshopper Sparrow","Ammodramus savannarum","Ammodramus savannarum"
5520,287,"LT",0.00237892896599449,0.14416943097729,NA,-0.378335949764521,0.0011600237953599,NA,NA,0,"Passeriformes","Passerellidae","Chondestes","grammacus","Lark Sparrow","Chondestes grammacus","Chondestes grammacus"
5580,884,"LT",0.00150113516325855,0.157411054220822,NA,0.274633123689728,0.000282017122045817,-0.621689155422289,0.344852411807055,0.000736992011409846,"Passeriformes","Passerellidae","Zonotrichia","albicollis","White-throated Sparrow","Zonotrichia albicollis","Zonotrichia albicollis"
5600,12562,"LT",0.00160540552514618,0.294065856351279,0.433904470182828,0.851718208214699,0.00049195710530126,-0.419646698349697,0.677439360637674,0.000762205427517861,"Passeriformes","Passerellidae","Spizella","passerina","Chipping Sparrow","Spizella passerina","Spizella passerina"
5610,414,"UT",0.00297177195374438,-0.703483432455395,-0.533047210300429,1,0.000154858691444057,0.152114766262676,0.629265678041808,0.00126822923747632,"Passeriformes","Passerellidae","Spizella","pallida","Clay-colored Sparrow","Spizella pallida","Spizella pallida"
5630,6310,"UT",0.0011805551720901,-0.395589232676162,-0.0376754493966998,0.7069566135332,0.000261544917916917,-0.884390066330802,0.2122348259617,0.000260831463766664,"Passeriformes","Passerellidae","Spizella","pusilla","Field Sparrow","Spizella pusilla","Spizella pusilla"
5780,37,"LT",0.00443073735756663,1,-1,1,0.00206704962802524,NA,1,0.00896886567618275,"Passeriformes","Passerellidae","Peucaea","cassinii","Cassin's Sparrow","Peucaea cassinii","Aimophila cassinii"
5810,11514,"UT",0.00216244850232318,-0.188018220365667,0.199478487614081,0.95018390055403,0.000649988893993012,-0.447520054125996,0.623553441491044,0.000733950283544203,"Passeriformes","Passerellidae","Melospiza","melodia","Song Sparrow","Melospiza melodia","Melospiza melodia"
5840,324,"LT",0.000484471114552415,1,-1,1,0.000190347141566654,NA,-1,0.00039202742454775,"Passeriformes","Passerellidae","Melospiza","georgiana","Swamp Sparrow","Melospiza georgiana","Melospiza georgiana"
5850,19,"LT",0.0107647166697231,1,NA,NA,0,NA,NA,0,"Passeriformes","Passerellidae","Passerella","iliaca","Fox Sparrow","Passerella iliaca","Passerella iliaca"
