AOU,fLU_ab,fLU_pr,fLU_tas,fLU_tasmax,fLU_tasmin,Diet.5Cat,IUCN_status,tail,ORDER,Family,Genus,Species,English_Common_Name,ScientificName,BirdTreeName,comments
4200,0.455915599,0.423121668,0.240336614,0.056845705,0.078271567,Invertebrate,LC,LT,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common Nighthawk,Chordeiles minor,Chordeiles minor,
4230,0.032625531,-0.542676292,0.734170729,0.780317975,0.46913306,Invertebrate,VU,LT,Apodiformes,Apodidae,Chaetura,pelagica,Chimney Swift,Chaetura pelagica,Chaetura pelagica,
4280,1,0.304788019,0.57400722,-0.13526971,0.011695906,FruiNect,LC,LT,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated Hummingbird,Archilochus colubris,Archilochus colubris,
4320,-0.420802752,0.06642456,0.521633586,0.814734895,0.737795095,FruiNect,LC,UT,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed Hummingbird,Selasphorus platycercus,Selasphorus platycercus,
4430,-0.267931513,0.312058035,-0.694601849,-0.879286901,-0.182608696,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Tyrannus,forficatus,Scissor-tailed Flycatcher,Tyrannus forficatus,Tyrannus forficatus,
4440,0.067023694,-0.076162338,0.473174351,0.339286016,0.213783534,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Eastern Kingbird,Tyrannus tyrannus,Tyrannus tyrannus,
4470,-0.101692463,0.322166717,0.21289205,0.240482343,0.310448715,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Tyrannus,verticalis,Western Kingbird,Tyrannus verticalis,Tyrannus verticalis,
4480,0.716894977,0.253091045,0.187247204,0.409016124,-0.024640657,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Tyrannus,vociferans,Cassin's Kingbird,Tyrannus vociferans,Tyrannus vociferans,
4520,0.148753385,-0.347406951,0.476615407,0.499479453,0.220530908,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Myiarchus,crinitus,Great Crested Flycatcher,Myiarchus crinitus,Myiarchus crinitus,
4530,0.271028037,1,-0.255033557,-0.155963303,0.977272727,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,Brown-crested Flycatcher,Myiarchus tyrannulus,Myiarchus tyrannulus,
4540,0.0199071,0.340981332,0.083802776,0.574373192,0.507356242,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,Myiarchus cinerascens,
