"AOU","ScientificName"
6480,"Setophaga americana"
6550,"Setophaga coronata coronata"
6670,"Setophaga virens"
6680,"Setophaga townsendi"
6690,"Setophaga occidentalis"
6730,"Setophaga discolor"
6770,"Geothlypis formosa"
6790,"Geothlypis philadelphia"
6870,"Setophaga ruticilla"
7000,"Anthus spragueii"
7030,"Mimus polyglottos"
7040,"Dumetella carolinensis"
7050,"Toxostoma rufum"
7150,"Salpinctes obsoletus"
7190,"Thryomanes bewickii"
7270,"Sitta carolinensis"
7280,"Sitta canadensis"
7290,"Sitta pusilla"
7310,"Baeolophus bicolor"
7315,"Baeolophus bicolor / atricristatus"
7320,"Baeolophus atricristatus"
7331,"Baeolophus ridgwayi"
7380,"Poecile gambeli"
7430,"Psaltriparus minimus"
7460,"Auriparus flaviceps"
7520,"Polioptila melanura"
7540,"Myadestes townsendi"
7610,"Turdus migratorius"
7630,"Ixoreus naevius"
7660,"Sialia sialis"
7680,"Sialia currucoides"
70,"Gavia immer"
1430,"Anas acuta"
1810,"Cygnus buccinator"
1940,"Ardea herodias"
1960,"Ardea alba"
2001,"Bubulcus ibis"
2490,"Limosa fedoa"
2640,"Numenius americanus"
2890,"Colinus virginianus"
3091,"Phasianus colchicus"
3131,"Columba livia"
3160,"Zenaida macroura"
3190,"Zenaida asiatica"
3200,"Columbina passerina"
3250,"Cathartes aura"
3260,"Coragyps atratus"
3310,"Circus hudsonius"
3370,"Buteo jamaicensis"
3420,"Buteo swainsoni"
3600,"Falco sparverius"
3850,"Geococcyx californianus"
3870,"Coccyzus americanus"
3930,"Dryobates villosus"
3970,"Dryobates nuttallii"
3990,"Dryobates albolarvatus"
4020,"Sphyrapicus varius"
4060,"Melanerpes erythrocephalus"
4070,"Melanerpes formicivorus"
4120,"Colaptes auratus auratus"
4130,"Colaptes auratus cafer"
4160,"Antrostomus carolinensis"
4320,"Selasphorus platycercus"
4430,"Tyrannus forficatus"
4470,"Tyrannus verticalis"
4560,"Sayornis phoebe"
4580,"Sayornis nigricans"
4590,"Contopus cooperi"
4610,"Contopus virens"
4670,"Empidonax minimus"
4690,"Empidonax oberholseri"
4740,"Eremophila alpestris"
4750,"Pica hudsonia"
4770,"Cyanocitta cristata"
4860,"Corvus corax"
4870,"Corvus cryptoleucus"
4900,"Corvus ossifragus"
4910,"Nucifraga columbiana"
4930,"Sturnus vulgaris"
4940,"Dolichonyx oryzivorus"
4950,"Molothrus ater"
4980,"Agelaius phoeniceus"
5010,"Sturnella magna"
5070,"Icterus galbula"
5080,"Icterus bullockii"
5110,"Quiscalus quiscula"
5120,"Quiscalus mexicanus"
5130,"Quiscalus major"
5170,"Haemorhous purpureus"
5210,"Loxia curvirostra"
5300,"Spinus psaltria"
5380,"Calcarius ornatus"
5400,"Pooecetes gramineus"
5420,"Passerculus sandwichensis"
5480,"Ammospiza leconteii"
5580,"Zonotrichia albicollis"
5620,"Spizella breweri"
5630,"Spizella pusilla"
5660,"Junco hyemalis aikeni"
5671,"Junco hyemalis oreganus"
5690,"Junco hyemalis caniceps"
5730,"Amphispiza bilineata"
5810,"Melospiza melodia"
5830,"Melospiza lincolnii"
5840,"Melospiza georgiana"
5870,"Pipilo erythrophthalmus"
5900,"Pipilo chlorurus"
5940,"Cardinalis sinuatus"
5960,"Pheucticus melanocephalus"
5970,"Passerina caerulea"
5990,"Passerina amoena"
6040,"Spiza americana"
6050,"Calamospiza melanocorys"
6070,"Piranga ludoviciana"
6130,"Hirundo rustica"
6160,"Riparia riparia"
6170,"Stelgidopteryx serripennis"
6220,"Lanius ludovicianus"
6290,"Vireo solitarius"
6310,"Vireo griseus"
6320,"Vireo huttoni"
6330,"Vireo bellii"
