"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
6290,250,500,327,102,225,0,105,120,9.82834556747601,-14.5076228119706
6291,250,500,164,51,113,0,29,84,1.70101637492942,-7.38565782044043
6292,250,500,108,40,68,0,41,27,4.20750988142293,-2.10220214568041
6310,250,500,4193,1089,3104,0,1657,1441,164.957368718238,-113.633540372671
6320,250,500,29,1,28,0,5,23,0.311688311688312,-1.88848108413326
6330,250,500,34,16,18,0,8,10,0.828345567476003,-1.22840203274986
6340,250,500,2,0,2,0,2,0,0.237154150197629,0
6360,250,500,891,379,512,0,307,205,27.9014680971203,-16.9918125352908
6370,250,500,67,16,51,0,26,25,2.61377752682101,-1.51044607566347
6390,250,500,25,7,18,0,6,12,0.540937323546019,-1.50734048560136
6410,250,500,11,4,7,0,1,6,0.0352907961603614,-0.775268210050819
6420,250,500,4,2,2,0,0,2,0,-0.105307735742518
6430,250,500,3,3,0,0,0,0,0,0
6440,250,500,30,9,21,0,11,10,0.97261434217956,-0.956804065499718
6450,250,500,364,161,203,0,112,91,12.4147374364766,-8.18633540372671
6460,250,500,259,141,118,0,59,58,4.22924901185771,-4.31422924901186
6470,250,500,1,0,1,0,1,0,0.165725578769057,0
6480,250,500,1047,347,700,0,388,312,40.0652173913044,-29.9649915302089
6520,250,500,9626,4304,5322,0,2146,3174,187.292859044704,-371.287972896668
6540,250,500,141,61,80,0,33,47,2.62845849802372,-4.25127046866177
6550,250,500,533,269,264,0,161,103,16.0511010728402,-7.82467532467532
6556,250,500,0,0,0,0,0,0,0,0
6560,250,500,686,370,315,1,155,160,14.4463579898363,-11.5304912478825
6570,250,500,362,171,191,0,137,54,13.4364765669114,-4.29277244494636
6580,250,500,3,1,2,0,2,0,0.031620553359684,0
6590,250,500,2806,1139,1667,0,893,774,77.1950875211745,-73.352343308865
6610,250,500,4,2,2,0,0,2,0,-0.101919819311124
6620,250,500,182,87,95,0,62,33,5.81535855448899,-3.10954263128176
6630,250,500,135,43,92,0,33,59,2.17927724449464,-5.40372670807453
6640,250,500,23,10,13,0,7,6,0.631564088085827,-0.244776962168266
6650,250,500,61,10,51,0,13,37,0.502540937323547,-2.73009599096555
6670,250,500,649,270,379,0,152,227,11.867306606437,-26.3458498023715
6680,250,500,88,44,44,0,23,21,2.3184641445511,-1.26877470355731
6690,250,500,27,3,24,0,3,21,0.138057594579334,-1.68859401468097
6710,250,500,1825,441,1384,0,734,650,77.3896103896104,-47.2140033879164
6720,250,500,0,0,0,0,0,0,0,0
6730,250,500,580,112,468,0,213,254,19.8035008469791,-18.4793901750423
6740,250,500,9976,4421,5555,0,2151,3401,184.962168266516,-424.882552230378
6750,250,500,52,30,22,0,14,8,1.64935064935065,-0.652738565782044
6760,250,500,36,14,22,0,2,20,0.0127046866177302,-2.9438170525127
6770,250,500,479,138,341,0,197,143,17.2450592885376,-11.0872388481084
6780,250,500,0,0,0,0,0,0,0,0
6790,250,500,182,116,66,0,44,22,5.1188594014681,-2.44861660079051
6800,250,500,323,171,152,0,74,78,6.43591191417279,-6.07481648785996
6810,250,500,26934,12220,14712,2,6125,8577,539.546689349532,-976.629023150762
6830,250,500,4548,1274,3274,0,1651,1620,152.167137210616,-131.824110671937
6840,250,500,918,283,635,0,206,429,21.1459627329193,-59.714568040655
6850,250,500,52,33,19,0,6,12,0.175607001693958,-0.986166007905138
6860,250,500,2,0,2,0,1,1,0.123658949745906,-0.128458498023715
6870,250,500,3106,1215,1891,0,789,1101,63.6182947487296,-126.202992659514
6880,250,500,2,2,0,0,0,0,0,0
6882,250,500,18942,8915,10027,0,3561,6462,301.863105282259,-785.957124668005
6900,250,500,3,2,1,0,0,1,0,-0.0064935064935065
7000,250,500,0,0,0,0,0,0,0,0
7020,250,500,162,59,103,0,57,46,6.34302653867871,-4.03670242800677
7030,250,500,11355,3699,7656,0,3429,4221,318.08250935314,-406.979574777657
7040,250,500,16900,7452,9447,1,3086,6356,248.141163184642,-818.52371541502
7050,250,500,9540,3822,5718,0,2457,3258,221.029079616036,-348.133540372671
7070,250,500,21,13,8,0,4,4,0.444664031620554,-0.268492377188029
7100,250,500,1,0,1,0,1,0,0.04686617730096,0
7130,250,500,61,50,11,0,5,6,0.350367024280068,-0.84669678147939
7150,250,500,332,122,210,0,105,105,8.74364765669114,-8.9257481648786
7170,250,500,2,0,2,0,0,2,0,-0.0815923207227555
7180,250,500,10757,3302,7455,0,3025,4424,281.33483907397,-477.070016939582
7190,250,500,156,66,90,0,45,45,3.70164697426085,-3.68322981366459
7210,250,500,15138,7008,8130,0,2864,5262,232.807812613759,-651.20468661773
7221,250,500,85,37,48,0,18,29,1.23404856013552,-2.63918690005646
7222,250,500,233,101,132,0,93,39,9.214568040655,-2.285431959345
7240,250,500,250,127,123,0,56,67,4.69282891022022,-7.46979107848673
7250,250,500,96,24,72,0,48,24,4.83822699040091,-1.82580463015246
7260,250,500,28,5,23,0,4,19,0.159514398644834,-1.48221343873518
7270,250,500,3394,1185,2209,0,687,1522,53.8430265386787,-188.580180688876
7280,250,500,657,338,318,1,148,170,13.5239977413891,-13.8447204968944
7290,250,500,59,17,42,0,18,24,1.49407114624506,-1.1699604743083
7300,250,500,6,3,3,0,2,1,0.143421795595709,-0.0976849237718802
7310,250,500,17358,6122,11236,0,3835,7394,335.261998870695,-884.341050254093
7315,250,500,0,0,0,0,0,0,0,0
7320,250,500,10,0,10,0,6,4,0.123376623376624,-0.243647656691135
7330,250,500,10,0,10,0,3,7,0.118294748729531,-0.384246188594014
7331,250,500,7,1,6,0,4,2,0.415866741953699,-0.0426312817617165
7340,250,500,1,1,0,0,0,0,0,0
7350,250,500,8706,4086,4618,2,2332,2285,205.160975311017,-221.95652173913
7360,250,500,5858,1479,4379,0,1750,2624,152.48814229249,-252.274138904574
7380,250,500,290,126,164,0,64,100,5.52004517221909,-7.7523997741389
7410,250,500,72,23,49,0,17,31,0.620835686053078,-2.26425748164878
7420,250,500,23,0,23,0,7,16,0.415584415584416,-0.963862224731789
7430,250,500,12,3,9,0,5,4,0.193675889328063,-0.0827216261998868
7460,250,500,51,38,13,0,7,6,0.287690570299266,-0.413890457368718
7470,250,500,0,0,0,0,0,0,0,0
7480,250,500,117,61,55,1,22,32,1.31648785996612,-2.43619424054207
7490,250,500,351,239,112,0,68,44,6.1420101637493,-3.15951439864483
7510,250,500,4049,1245,2804,0,1251,1549,118.398080180689,-146.487295313382
7520,250,500,10,5,5,0,2,3,0.0787690570299268,-0.201581027667984
7540,250,500,32,10,22,0,7,15,0.461603613777527,-0.577639751552794
7550,250,500,12628,4168,8460,0,2695,5760,218.760869565217,-716.711462450593
7560,250,500,3538,1419,2119,0,1183,936,107.040937323546,-87.6115189158667
7570,250,500,12,8,4,0,3,1,0.268210050818747,-0.0700169395821569
7580,250,500,752,423,328,1,167,160,14.589779785432,-12.5869565217391
7590,250,500,1173,544,629,0,330,299,30.7354601919819,-25.8658949745906
7610,250,500,36113,16723,19386,4,7632,11742,652.044211248865,-1331.7690617347
7630,250,500,84,69,15,0,6,8,0.535573122529645,-0.541501976284585
7660,250,500,12171,4735,7436,0,2822,4609,247.156691134952,-519.715132693393
7670,250,500,40,9,31,0,13,18,0.922360248447205,-1.2673630717109
7680,250,500,261,119,142,0,85,57,8.92970073404856,-4.69000564652738
22860,250,500,23,4,19,0,16,2,1.99717673630717,-0.0804630152456238
