AOU,English_Common_Name,ScientificName,BirdTreeName,mig_NB_BBS,comments,source
4620,Western Wood-Pewee,Contopus sordidulus,Contopus sordidulus,1,NA,NA
4641,Pacific-slope Flycatcher,Empidonax difficilis,Empidonax difficilis,1,NA,NA
4650,Acadian Flycatcher,Empidonax virescens,Empidonax virescens,1,NA,NA
4660,Willow Flycatcher,Empidonax traillii,Empidonax traillii,1,NA,NA
4661,Alder Flycatcher,Empidonax alnorum,Empidonax alnorum,1,NA,NA
4670,Least Flycatcher,Empidonax minimus,Empidonax minimus,1,NA,NA
4740,Horned Lark,Eremophila alpestris,Eremophila alpestris,1,NA,NA
4750,Black-billed Magpie,Pica hudsonia,Pica hudsonia,0,NA,NA
4770,Blue Jay,Cyanocitta cristata,Cyanocitta cristata,1,NA,https://birdsoftheworld.org/bow/species/blujay/cur/movement
4812,California Scrub-Jay,Aphelocoma californica,Aphelocoma californica,0,NA,https://birdsoftheworld.org/bow/species/cowscj1/cur/movement
4860,Common Raven,Corvus corax,Corvus corax,1,NA,NA
4880,American Crow,Corvus brachyrhynchos,Corvus brachyrhynchos,1,NA,NA
4930,European Starling,Sturnus vulgaris,Sturnus vulgaris,NA,Partial Migrant,https://birdsoftheworld.org/bow/species/eursta/cur/movement
4940,Bobolink,Dolichonyx oryzivorus,Dolichonyx oryzivorus,1,NA,NA
4950,Brown-headed Cowbird,Molothrus ater,Molothrus ater,1,NA,https://birdsoftheworld.org/bow/species/bnhcow/cur/movement
4970,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,1,NA,NA
4980,Red-winged Blackbird,Agelaius phoeniceus,Agelaius phoeniceus,1,NA,NA
5010,Eastern Meadowlark,Sturnella magna,Sturnella magna,1,NA,NA
5011,Western Meadowlark,Sturnella neglecta,Sturnella neglecta,1,NA,NA
5060,Orchard Oriole,Icterus spurius,Icterus spurius,1,NA,NA
5070,Baltimore Oriole,Icterus galbula,Icterus galbula,1,NA,NA
5100,Brewer's Blackbird,Euphagus cyanocephalus,Euphagus cyanocephalus,1,NA,NA
5110,Common Grackle,Quiscalus quiscula,Quiscalus quiscula,1,NA,NA
5130,Boat-tailed Grackle,Quiscalus major,Quiscalus major,1,NA,NA
5170,Purple Finch,Haemorhous purpureus,Carpodacus purpureus,1,NA,NA
5190,House Finch,Haemorhous mexicanus,Carpodacus mexicanus,1,NA,NA
5290,American Goldfinch,Spinus tristis,Carduelis tristis,1,NA,NA
5380,Chestnut-collared Longspur,Calcarius ornatus,Calcarius ornatus,1,NA,https://birdsoftheworld.org/bow/species/chclon/cur/movement
5400,Vesper Sparrow,Pooecetes gramineus,Pooecetes gramineus,1,NA,NA
5420,Savannah Sparrow,Passerculus sandwichensis,Passerculus sandwichensis,1,NA,NA
5460,Grasshopper Sparrow,Ammodramus savannarum,Ammodramus savannarum,1,NA,NA
5520,Lark Sparrow,Chondestes grammacus,Chondestes grammacus,1,NA,NA
5580,White-throated Sparrow,Zonotrichia albicollis,Zonotrichia albicollis,1,NA,NA
5600,Chipping Sparrow,Spizella passerina,Spizella passerina,1,NA,NA
5610,Clay-colored Sparrow,Spizella pallida,Spizella pallida,1,NA,NA
5630,Field Sparrow,Spizella pusilla,Spizella pusilla,1,NA,NA
5780,Cassin's Sparrow,Peucaea cassinii,Aimophila cassinii,1,NA,NA
5810,Song Sparrow,Melospiza melodia,Melospiza melodia,1,NA,NA
5840,Swamp Sparrow,Melospiza georgiana,Melospiza georgiana,1,NA,NA
5850,Fox Sparrow,Passerella iliaca,Passerella iliaca,1,NA,NA
5870,Eastern Towhee,Pipilo erythrophthalmus,Pipilo erythrophthalmus,1,NA,NA
5880,Spotted Towhee,Pipilo maculatus,Pipilo maculatus,1,NA,NA
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalis cardinalis,0,NA,https://birdsoftheworld.org/bow/species/norcar/cur/movement
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Pheucticus ludovicianus,1,NA,NA
5970,Blue Grosbeak,Passerina caerulea,Passerina caerulea,1,NA,NA
5980,Indigo Bunting,Passerina cyanea,Passerina cyanea,1,NA,NA
6010,Painted Bunting,Passerina ciris,Passerina ciris,1,NA,https://birdsoftheworld.org/bow/species/paibun/cur/movement
6040,Dickcissel,Spiza americana,Spiza americana,1,NA,NA
6050,Lark Bunting,Calamospiza melanocorys,Calamospiza melanocorys,1,NA,NA
6070,Western Tanager,Piranga ludoviciana,Piranga ludoviciana,1,NA,NA
6080,Scarlet Tanager,Piranga olivacea,Piranga olivacea,1,NA,NA
6100,Summer Tanager,Piranga rubra,Piranga rubra,1,NA,NA
6110,Purple Martin,Progne subis,Progne subis,1,NA,https://birdsoftheworld.org/bow/species/purmar/cur/movement
6120,Cliff Swallow,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,1,NA,NA
6130,Barn Swallow,Hirundo rustica,Hirundo rustica,1,NA,NA
6140,Tree Swallow,Tachycineta bicolor,Tachycineta bicolor,1,NA,NA
6190,Cedar Waxwing,Bombycilla cedrorum,Bombycilla cedrorum,1,NA,NA
6240,Red-eyed Vireo,Vireo olivaceus,Vireo olivaceus,1,NA,NA
6270,Warbling Vireo,Vireo gilvus,Vireo gilvus,1,NA,NA
6310,White-eyed Vireo,Vireo griseus,Vireo griseus,1,NA,NA
6360,Black-and-white Warbler,Mniotilta varia,Mniotilta varia,1,NA,NA
6370,Prothonotary Warbler,Protonotaria citrea,Protonotaria citrea,1,NA,NA
6450,Nashville Warbler,Leiothlypis ruficapilla,Vermivora ruficapilla,1,NA,NA
6480,Northern Parula,Setophaga americana,Parula americana,1,NA,NA
6520,Yellow Warbler,Setophaga petechia,Dendroica petechia,1,NA,NA
6550,(Myrtle Warbler) Yellow-rumped Warbler,Setophaga coronata coronata,Dendroica coronata,1,NA,NA
6570,Magnolia Warbler,Setophaga magnolia,Dendroica magnolia,1,NA,NA
6590,Chestnut-sided Warbler,Setophaga pensylvanica,Dendroica pensylvanica,1,NA,NA
6620,Blackburnian Warbler,Setophaga fusca,Dendroica fusca,1,NA,NA
6630,Yellow-throated Warbler,Setophaga dominica,Dendroica dominica,1,NA,NA
6670,Black-throated Green Warbler,Setophaga virens,Dendroica virens,1,NA,NA
6710,Pine Warbler,Setophaga pinus,Dendroica pinus,1,NA,NA
6730,Prairie Warbler,Setophaga discolor,Dendroica discolor,1,NA,NA
6740,Ovenbird,Seiurus aurocapilla,Seiurus aurocapilla,1,NA,NA
6770,Kentucky Warbler,Geothlypis formosa,Oporornis formosus,1,NA,NA
6790,Mourning Warbler,Geothlypis philadelphia,Oporornis philadelphia,1,NA,NA
6810,Common Yellowthroat,Geothlypis trichas,Geothlypis trichas,1,NA,NA
6830,Yellow-breasted Chat,Icteria virens,Icteria virens,1,NA,NA
6850,Wilson's Warbler,Cardellina pusilla,Wilsonia pusilla,1,NA,NA
6870,American Redstart,Setophaga ruticilla,Setophaga ruticilla,1,NA,NA
6882,House Sparrow,Passer domesticus,Passer domesticus,0,NA,https://birdsoftheworld.org/bow/species/houspa/cur/movement
7030,Northern Mockingbird,Mimus polyglottos,Mimus polyglottos,1,NA,NA
7040,Gray Catbird,Dumetella carolinensis,Dumetella carolinensis,1,NA,NA
7050,Brown Thrasher,Toxostoma rufum,Toxostoma rufum,1,NA,NA
7180,Carolina Wren,Thryothorus ludovicianus,Thryothorus ludovicianus,1,NA,NA
7190,Bewick's Wren,Thryomanes bewickii,Thryomanes bewickii,1,NA,NA
7210,House Wren,Troglodytes aedon,Troglodytes aedon,1,NA,NA
7221,Pacific Wren,Troglodytes pacificus,Troglodytes troglodytes,1,NA,https://birdsoftheworld.org/bow/species/pacwre1/cur/movement
7222,Winter Wren,Troglodytes hiemalis,Troglodytes troglodytes,1,NA,https://birdsoftheworld.org/bow/species/winwre3/cur/movement
7240,Sedge Wren,Cistothorus platensis,Cistothorus platensis,1,NA,NA
7270,White-breasted Nuthatch,Sitta carolinensis,Sitta carolinensis,0,NA,https://birdsoftheworld.org/bow/species/whbnut/cur/movement
