AOU,English_Common_Name,ScientificName,BirdTreeName,mig_NB_BBS,comments,source
4812,California Scrub-Jay,Aphelocoma californica,Aphelocoma californica,0,Nonmigratory,https://birdsoftheworld.org/bow/species/cowscj1/cur/movement
4880,American Crow,Corvus brachyrhynchos,Corvus brachyrhynchos,1,NA,NA
4900,Fish Crow,Corvus ossifragus,Corvus ossifragus,NA,Needs study,https://birdsoftheworld.org/bow/species/fiscro/cur/movement
4930,European Starling,Sturnus vulgaris,Sturnus vulgaris,1,Migrant probably,https://birdsoftheworld.org/bow/species/eursta/cur/movement#mignat
4940,Bobolink,Dolichonyx oryzivorus,Dolichonyx oryzivorus,1,NA,NA
4950,Brown-headed Cowbird,Molothrus ater,Molothrus ater,1,Short distance migrant,https://birdsoftheworld.org/bow/species/bnhcow/cur/movement
4980,Red-winged Blackbird,Agelaius phoeniceus,Agelaius phoeniceus,1,NA,NA
5010,Eastern Meadowlark,Sturnella magna,Sturnella magna,1,NA,NA
5011,Western Meadowlark,Sturnella neglecta,Sturnella neglecta,1,NA,NA
5060,Orchard Oriole,Icterus spurius,Icterus spurius,1,NA,NA
5070,Baltimore Oriole,Icterus galbula,Icterus galbula,1,NA,NA
5110,Common Grackle,Quiscalus quiscula,Quiscalus quiscula,1,NA,NA
5190,House Finch,Haemorhous mexicanus,Carpodacus mexicanus,1,NA,NA
5290,American Goldfinch,Spinus tristis,Carduelis tristis,1,NA,NA
5400,Vesper Sparrow,Pooecetes gramineus,Pooecetes gramineus,1,NA,NA
5420,Savannah Sparrow,Passerculus sandwichensis,Passerculus sandwichensis,1,NA,NA
5460,Grasshopper Sparrow,Ammodramus savannarum,Ammodramus savannarum,1,NA,NA
5580,White-throated Sparrow,Zonotrichia albicollis,Zonotrichia albicollis,1,NA,NA
5600,Chipping Sparrow,Spizella passerina,Spizella passerina,1,NA,NA
5630,Field Sparrow,Spizella pusilla,Spizella pusilla,1,NA,NA
5810,Song Sparrow,Melospiza melodia,Melospiza melodia,1,NA,NA
5870,Eastern Towhee,Pipilo erythrophthalmus,Pipilo erythrophthalmus,1,NA,NA
5911,California Towhee,Melozone crissalis,Pipilo crissalis,0,Nonmigratory,https://birdsoftheworld.org/bow/species/caltow/cur/movement
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalis cardinalis,0,no conclusive evidence of migration,https://birdsoftheworld.org/bow/species/norcar/cur/movement
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Pheucticus ludovicianus,1,NA,NA
5980,Indigo Bunting,Passerina cyanea,Passerina cyanea,1,NA,NA
6010,Painted Bunting,Passerina ciris,Passerina ciris,1,Short- to medium-distance Neotropical migrant,https://birdsoftheworld.org/bow/species/paibun/cur/movement
6040,Dickcissel,Spiza americana,Spiza americana,1,NA,NA
6080,Scarlet Tanager,Piranga olivacea,Piranga olivacea,1,NA,NA
6100,Summer Tanager,Piranga rubra,Piranga rubra,1,NA,NA
6110,Purple Martin,Progne subis,Progne subis,1,Most migrants,https://birdsoftheworld.org/bow/species/purmar/cur/movement
6130,Barn Swallow,Hirundo rustica,Hirundo rustica,1,NA,NA
6140,Tree Swallow,Tachycineta bicolor,Tachycineta bicolor,1,NA,NA
6190,Cedar Waxwing,Bombycilla cedrorum,Bombycilla cedrorum,1,NA,NA
6240,Red-eyed Vireo,Vireo olivaceus,Vireo olivaceus,1,NA,NA
6270,Warbling Vireo,Vireo gilvus,Vireo gilvus,1,NA,NA
6310,White-eyed Vireo,Vireo griseus,Vireo griseus,1,NA,NA
6520,Yellow Warbler,Setophaga petechia,Dendroica petechia,1,NA,NA
6590,Chestnut-sided Warbler,Setophaga pensylvanica,Dendroica pensylvanica,1,NA,NA
6670,Black-throated Green Warbler,Setophaga virens,Dendroica virens,1,NA,NA
6710,Pine Warbler,Setophaga pinus,Dendroica pinus,1,NA,NA
6740,Ovenbird,Seiurus aurocapilla,Seiurus aurocapilla,1,NA,NA
6810,Common Yellowthroat,Geothlypis trichas,Geothlypis trichas,1,NA,NA
6830,Yellow-breasted Chat,Icteria virens,Icteria virens,1,NA,NA
6870,American Redstart,Setophaga ruticilla,Setophaga ruticilla,1,NA,NA
6882,House Sparrow,Passer domesticus,Passer domesticus,0,Mostly resident,https://birdsoftheworld.org/bow/species/houspa/cur/movement
7030,Northern Mockingbird,Mimus polyglottos,Mimus polyglottos,1,NA,NA
7040,Gray Catbird,Dumetella carolinensis,Dumetella carolinensis,1,NA,NA
7050,Brown Thrasher,Toxostoma rufum,Toxostoma rufum,1,NA,NA
7180,Carolina Wren,Thryothorus ludovicianus,Thryothorus ludovicianus,1,NA,NA
7210,House Wren,Troglodytes aedon,Troglodytes aedon,1,NA,NA
7222,Winter Wren,Troglodytes hiemalis,Troglodytes troglodytes,1,"migratory, partially migratory, and resident",https://birdsoftheworld.org/bow/species/winwre3/cur/movement
7310,Tufted Titmouse,Baeolophus bicolor,Baeolophus bicolor,1,NA,NA
7350,Black-capped Chickadee,Poecile atricapillus,Parus atricapillus,1,NA,NA
7360,Carolina Chickadee,Poecile carolinensis,Parus carolinensis,0,Nonmigratory,https://birdsoftheworld.org/bow/species/carchi/cur/movement
7550,Wood Thrush,Hylocichla mustelina,Hylocichla mustelina,1,NA,NA
7560,Veery,Catharus fuscescens,Catharus fuscescens,1,NA,NA
7610,American Robin,Turdus migratorius,Turdus migratorius,1,NA,NA
7660,Eastern Bluebird,Sialia sialis,Sialia sialis,1,NA,NA
