"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments","newBT","kipps","HWI","Avibase.ID","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments_gbif","gbif_dwnld_type","cleaned_records","bio1","bio12"
2300,0.304066543,0.291179996,0.196328264,"Invertebrate","LC","LT","Charadriiformes","Scolopacidae","Gallinago","delicata","Wilson's Snipe","Gallinago delicata","Gallinago gallinago","","Gallinago_gallinago",59.5,46.491801056663,"AVIBASE-F5C8516D","9/27/2022",2481817,1064029,1063974,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481817&occurrence_status=present","manual",231401,8.50152284263964,1041.25546011495
2490,-1,0.192755672,-0.905333333,"Invertebrate","LC","UT","Charadriiformes","Scolopacidae","Limosa","fedoa","Marbled Godwit","Limosa fedoa","Limosa fedoa","","Limosa_fedoa",118.05,52.491948207395,"AVIBASE-249AE8DF","9/28/2022",2481684,501778,501244,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481684&occurrence_status=present","manual",152508,14.034949832776,823.044226190476
2580,1,-0.264190981,-0.637621024,"Invertebrate","LC","LT","Charadriiformes","Scolopacidae","Tringa","semipalmata","Willet","Tringa semipalmata","Catoptrophorus semipalmatus","","Catoptrophorus_semipalmatus",96.95,47.613716156275,"AVIBASE-E7A14E91","10/1/2022",5789298,1351572,1351143,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5789298&occurrence_status=present","manual",521695,14.4425170068027,1091.5131023281
2610,0.224806202,0.649289895,-0.702772964,"Invertebrate","LC","LT","Charadriiformes","Scolopacidae","Bartramia","longicauda","Upland Sandpiper","Bartramia longicauda","Bartramia longicauda","","Bartramia_longicauda",83.65,52.821854262912,"AVIBASE-BF1DA86E","9/26/2022",2481705,145801,145776,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481705&occurrence_status=present","manual",58654,9.70543478260873,930.104070886076
2640,-1,-0.162913907,0.326057299,"Invertebrate","LC","UT","Charadriiformes","Scolopacidae","Numenius","americanus","Long-billed Curlew","Numenius americanus","Numenius americanus","","Numenius_americanus",132.55,49.6846600620722,"AVIBASE-5284C27B","9/28/2022",2481794,385656,385636,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481794&occurrence_status=present","manual",288326,14.1897212543554,706.957023060797
2730,0.082742892,-0.16119319,0.583069305,"Invertebrate","LC","LT","Charadriiformes","Charadriidae","Charadrius","vociferus","Killdeer","Charadrius vociferus","Charadrius vociferus","","Charadrius_vociferus",83.5,52.6191601871551,"AVIBASE-BCF9A19A","9/27/2022",2480320,6392564,6391957,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480320&occurrence_status=present","manual",2565215,10.8108695652174,1154.86566577735
2890,-0.121818799,-0.057701753,0.487923007,"PlantSeed","NT","UT","Galliformes","Odontophoridae","Colinus","virginianus","Northern Bobwhite","Colinus virginianus","Colinus virginianus","","Colinus_virginianus",30.3,27.6692374066831,"AVIBASE-91CCBC71","9/27/2022",9791464,355055,352418,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9791464&occurrence_status=present","manual",282278,16.2313852813853,1074.81753382296
2920,1,-0.791065776,0.715504979,"PlantSeed","LC","LT","Galliformes","Odontophoridae","Oreortyx","pictus","Mountain Quail","Oreortyx pictus","Oreortyx pictus","","Oreortyx_pictus",41.425,31.6141230909972,"AVIBASE-171E91FF","9/24/2022",2474320,62807,62793,NA,"code",60315,9.9002487562189,1209.39969204119
2930,0.2934338,0.368362473,-0.037488285,"PlantSeed","LC","LT","Galliformes","Odontophoridae","Callipepla","squamata","Scaled Quail","Callipepla squamata","Callipepla squamata","","Callipepla_squamata",27.8,24.2358739148151,"AVIBASE-C46EEE59","9/24/2022",5228075,76710,76694,NA,"code",74430,14.9342931937173,428.227270218051
2940,0.251761104,-0.172603932,-0.21771585,"PlantSeed","LC","LT","Galliformes","Odontophoridae","Callipepla","californica","California Quail","Callipepla californica","Callipepla californica","","Callipepla_californica",28.275,26.2342673704702,"AVIBASE-F93AC929","9/26/2022",5228080,960895,958224,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228080&occurrence_status=present","manual",372474,12.5713740458016,991.531747280115
2950,0.175592625,0.776129494,0.217802503,"PlantSeed","LC","LT","Galliformes","Odontophoridae","Callipepla","gambelii","Gambel's Quail","Callipepla gambelii","Callipepla gambelii","","Callipepla_gambelii",31.975,28.3368693344421,"AVIBASE-C1ED9F86","9/26/2022",5228072,429883,429819,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5228072&occurrence_status=present","manual",417772,14.9941441441442,320.497871046229
3091,-0.292940281,0.274533305,0.24496052,"PlantSeed","LC","UT","Galliformes","Phasianidae","Phasianus","colchicus","Ring-necked Pheasant","Phasianus colchicus","Phasianus colchicus","","Phasianus_colchicus",60.3833333333333,26.0763913407391,"AVIBASE-2FA39DCD","9/29/2022",9752149,2092099,2081825,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9752149&occurrence_status=present","manual",978811,11.1417241379311,1127.63115773995
3120,0.548387097,-0.512235587,-0.331416247,"PlantSeed","LC","LT","Columbiformes","Columbidae","Patagioenas","fasciata","Band-tailed Pigeon","Patagioenas fasciata","Patagioenas fasciata","","Patagioenas_fasciata",73.8505882352941,35.9868318509946,"AVIBASE-3B008E78","9/28/2022",2495266,619513,619478,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495266&occurrence_status=present","manual",412766,11.8725396825397,1879.98468913422
3131,-0.156383629,-0.311069707,0.58180531,"PlantSeed","LC","UT","Columbiformes","Columbidae","Columba","livia","Rock Pigeon","Columba livia","Columba livia","","Columba_livia",98.77,45.1057835281993,"AVIBASE-BBA263C2","9/27/2022",2495414,9234579,9224777,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495414&occurrence_status=present","manual",3955910,10.3150246305419,1923.12856409818
3160,-0.066147296,-0.386113595,0.467539215,"PlantSeed","LC","UT","Columbiformes","Columbidae","Zenaida","macroura","Mourning Dove","Zenaida macroura","Zenaida macroura","","Zenaida_macroura",53.0769230769231,36.5963921293134,"AVIBASE-00124D98","10/1/2022",2495347,17442293,17442428,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495347&occurrence_status=present","manual",8109344,12.2146376811594,1194.20151678292
3190,-0.629139073,0.675239834,0.151294498,"PlantSeed","LC","UT","Columbiformes","Columbidae","Zenaida","asiatica","White-winged Dove","Zenaida asiatica","Zenaida asiatica","","Zenaida_asiatica",56.96,35.2358483190522,"AVIBASE-BFBC73AF","10/1/2022",2495370,1967727,1967778,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495370&occurrence_status=present","manual",950935,15.1632867132867,1450.12371510903
3200,-0.579158317,0.906100478,-0.226199543,"Omnivore","LC","UT","Columbiformes","Columbidae","Columbina","passerina","Common Ground Dove","Columbina passerina","Columbina passerina","","Columbina_passerina",21.65,25.4370489174018,"AVIBASE-F9AED548","9/27/2022",2495869,623941,623768,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495869&occurrence_status=present","manual",389526,17.4908333333333,1422.84294129913
3250,-0.205676676,-0.326461932,0.208332248,"VertFishScav","LC","UT","Cathartiformes","Cathartidae","Cathartes","aura","Turkey Vulture","Cathartes aura","Cathartes aura","","Cathartes_aura",135.636,26.8900805355297,"AVIBASE-36B3872D","9/26/2022",2481930,10992390,10988724,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481930&occurrence_status=present","manual",5255379,11.9451428571429,2123.28694083132
3260,-1,0.437674384,-0.748090027,"VertFishScav","LC","UT","Cathartiformes","Cathartidae","Coragyps","atratus","Black Vulture","Coragyps atratus","Coragyps atratus","","Coragyps_atratus",58.425,14.2760362694301,"AVIBASE-4FF7DE80","9/27/2022",2481942,3822829,3822211,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481942&occurrence_status=present","manual",1824100,14.8489761092151,2284.76946810474
3310,-1,0.955103472,-0.873015873,"VertFishScav","LC","UT","Accipitriformes","Accipitridae","Circus","hudsonius","Northern Harrier","Circus hudsonius","Circus cyaneus","","Circus_cyaneus",161.125,44.6459367725,"AVIBASE-A091D50A","9/27/2022",6101217,2635739,2635711,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6101217&occurrence_status=present","manual",984619,8.8250617283951,1083.10443872628
3370,-0.095496894,0.110668156,0.15901733,"VertFishScav","LC","UT","Accipitriformes","Accipitridae","Buteo","jamaicensis","Red-tailed Hawk","Buteo jamaicensis","Buteo jamaicensis","","Buteo_jamaicensis",139.95,34.0803111463349,"AVIBASE-536A5157","9/26/2022",2480542,8309720,8308292,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480542&occurrence_status=present","manual",4186342,9.92545691906008,1457.91017725553
